atlas,name,x,y,w,h,area_px
buildings_v002,cottage_small,0,0,512,341,174592
buildings_v002,inn_large,512,0,512,341,174592
buildings_v002,castle_entrance,1024,0,512,341,174592
buildings_v002,house_large,0,341,512,341,174592
buildings_v002,market_square,512,341,512,341,174592
buildings_v002,church_stone,1024,341,512,341,174592
buildings_v002,fortress_small,0,682,512,341,174592
buildings_v002,dockside_large,512,682,512,341,174592
buildings_v002,windmill_small,1024,682,512,341,174592
buildings_v003,house_thatch_small,0,0,384,256,98304
buildings_v003,tavern_blue_roof,384,0,384,256,98304
buildings_v003,house_thatch_large,768,0,384,256,98304
buildings_v003,house_stone_red_roof,1152,0,384,256,98304
buildings_v003,tavern_red_balcony,0,256,384,256,98304
buildings_v003,market_food_building,384,256,384,256,98304
buildings_v003,blacksmith_forge_large,768,256,384,256,98304
buildings_v003,watchtower_small,1152,256,384,256,98304
buildings_v003,chapel_large,0,512,384,256,98304
buildings_v003,alchemy_shop,384,512,384,256,98304
buildings_v003,castle_gate_medium,768,512,384,256,98304
buildings_v003,ruin_castle_small,1152,512,384,256,98304
buildings_v003,castle_fortress_large,0,768,384,256,98304
buildings_v003,dockside_building,384,768,384,256,98304
buildings_v003,windmill_large,768,768,384,256,98304
buildings_v003,magic_shop_crystal,1152,768,384,256,98304
buildings_v003,house_blue_roof_large,1152,768,384,256,98304
objects_props_v002,tree_oak_large,55,19,249,321,79929
objects_props_v002,tree_pine_tall,307,19,268,321,86028
objects_props_v002,tree_dead,469,19,299,321,95979
objects_props_v002,log_pile,768,0,192,170,32640
objects_props_v002,rock_large,960,0,192,170,32640
objects_props_v002,barrel_pair,1152,0,192,170,32640
objects_props_v002,barrel_triple,576,170,192,170,32640
objects_props_v002,hay_bale,1344,0,192,170,32640
objects_props_v002,crate_small,0,340,192,85,16320
objects_props_v002,barrel_single,192,340,192,85,16320
objects_props_v002,sack_pair,384,340,192,85,16320
objects_props_v002,sack_single,576,340,192,85,16320
objects_props_v002,fence_short,768,340,192,85,16320
objects_props_v002,lamp_post,1152,170,192,170,32640
objects_props_v002,well_small,1344,340,192,85,16320
objects_props_v002,cart_empty,1344,425,192,85,16320
objects_props_v002,sign_village,384,425,192,85,16320
objects_props_v002,sign_forest,768,425,192,85,16320
objects_props_v002,sign_market,960,425,192,85,16320
objects_props_v002,sign_double,576,425,192,85,16320
objects_props_v002,pillory,960,340,192,85,16320
objects_props_v002,well_large,960,510,192,170,32640
objects_props_v002,lamp_post_2,1152,340,192,85,16320
objects_props_v002,fence_long,0,425,192,85,16320
objects_props_v002,gravestone_plain,0,510,192,170,32640
objects_props_v002,gravestone_cross,192,510,192,170,32640
objects_props_v002,gravestone_rounded,384,510,192,170,32640
objects_props_v002,skull_pile,576,510,192,170,32640
objects_props_v002,chest_closed,768,510,192,170,32640
objects_props_v002,cauldron_small,1152,510,192,170,32640
objects_props_v002,table_small,192,680,384,170,65280
objects_props_v002,market_stall_goods,1344,510,192,170,32640
objects_props_v002,cooking_pot,0,680,192,170,32640
objects_props_v002,market_stall_food,960,850,192,170,32640
objects_props_v002,table_large,1152,850,384,170,65280
objects_props_v002,chest_open,768,680,192,170,32640
objects_props_v002,market_stall_large,960,680,192,170,32640
objects_props_v002,bucket_pair,0,850,192,170,32640
objects_props_v002,mushroom_pile,576,850,192,170,32640
objects_props_v002,market_stall_covered,1152,680,384,170,65280
objects_props_v002,campfire,768,170,192,170,32640
objects_props_v002,bush_small,960,170,192,170,32640
objects_props_v003,ruin_arch_stone,0,0,307,204,62628
objects_props_v003,statue_knight,307,0,307,204,62628
objects_props_v003,fountain_round,614,0,307,256,78592
objects_props_v003,statue_robed,921,0,307,204,62628
objects_props_v003,tent_plain_01,1228,0,307,204,62628
objects_props_v003,house_snow,0,204,307,204,62628
objects_props_v003,bridge_stone_arch,307,204,307,204,62628
objects_props_v003,statue_angel_01,614,204,307,204,62628
objects_props_v003,statue_angel_02,921,204,307,204,62628
objects_props_v003,tent_plain_02,1228,204,307,204,62628
objects_props_v003,bridge_stone_railing,0,408,307,204,62628
objects_props_v003,tent_circus,307,408,307,204,62628
objects_props_v003,tent_plain_03,614,408,307,204,62628
objects_props_v003,tent_plain_04,921,408,307,204,62628
objects_props_v003,tree_ruins_combo,1228,408,307,204,62628
objects_props_v003,sarcophagus,0,612,307,204,62628
objects_props_v003,crate_pile,307,612,307,204,62628
objects_props_v003,chest_treasure,614,612,307,204,62628
objects_props_v003,campfire_large,921,612,307,204,62628
objects_props_v003,cauldron_magic,1228,612,307,204,62628
objects_props_v003,bucket_magic,0,816,307,204,62628
objects_props_v003,sack_pile,307,816,307,204,62628
objects_props_v003,table_market,614,816,307,204,62628
objects_props_v003,chest_medium,921,816,307,204,62628
objects_props_v003,column_ruins,1228,816,307,204,62628
objects_props_v003,tower_ruins,1228,408,307,204,62628
terrain_grassland,grass_plain,4,4,64,64,4096
terrain_grassland,grass_flowers_yellow,72,4,64,64,4096
terrain_grassland,grass_flowers_blue,140,4,64,64,4096
terrain_grassland,grass_dark,208,4,64,64,4096
terrain_grassland,grass_dirt_patch,276,4,64,64,4096
terrain_grassland,dirt_grass_edge,344,4,64,64,4096
terrain_grassland,dirt_plain,412,4,64,64,4096
terrain_grassland,dirt_plants,480,4,64,64,4096
terrain_grassland,dirt_dark,4,72,64,64,4096
terrain_grassland,dirt_sand,72,72,64,64,4096
terrain_grassland,stone_plain,140,72,64,64,4096
terrain_grassland,stone_cracked,208,72,64,64,4096
terrain_grassland,stone_mossy,276,72,64,64,4096
terrain_grassland,stone_light,344,72,64,64,4096
terrain_grassland,sand_plain,412,72,64,64,4096
terrain_grassland,water_deep,480,72,64,64,4096
terrain_grassland,water_mid,4,140,64,64,4096
terrain_grassland,water_shore,72,140,64,64,4096
terrain_grassland,water_sand_edge,140,140,64,64,4096
terrain_grassland,sand_dry,208,140,64,64,4096
terrain_grassland,water_ice,276,140,64,64,4096
terrain_grassland,water_light,344,140,64,64,4096
terrain_grassland,water_ripple,412,140,64,64,4096
terrain_grassland,water_foam,480,140,64,64,4096
terrain_grassland,sand_footprints,4,208,64,64,4096
terrain_grassland,sand_dunes,72,208,64,64,4096
terrain_grassland,sand_rocky,140,208,64,64,4096
terrain_grassland,sand_cracked,208,208,64,64,4096
terrain_grassland,ocean_deep,276,208,64,64,4096
terrain_grassland,ocean_waves,344,208,64,64,4096
terrain_grassland,rock_wall_grey,412,208,64,64,4096
terrain_grassland,rock_wall_crack,480,208,64,64,4096
terrain_grassland,rock_wall_moss,4,276,64,64,4096
terrain_grassland,rock_wall_brown,72,276,64,64,4096
terrain_grassland,rock_wall_dark,140,276,64,64,4096
terrain_grassland,stone_wall_plain,208,276,64,64,4096
terrain_grassland,stone_wall_crack,276,276,64,64,4096
terrain_grassland,stone_wall_mossy,344,276,64,64,4096
terrain_grassland,stone_wall_dark,412,276,64,64,4096
terrain_grassland,stone_wall_light,480,276,64,64,4096
terrain_grassland,dungeon_wall,4,344,64,64,4096
terrain_grassland,dungeon_wall_moss,72,344,64,64,4096
terrain_grassland,dungeon_floor,140,344,64,64,4096
terrain_grassland,dungeon_wall_wet,208,344,64,64,4096
terrain_grassland,dungeon_wall_grey,276,344,64,64,4096
terrain_grassland,dungeon_dirt,344,344,64,64,4096
terrain_grassland,dungeon_stone,412,344,64,64,4096
terrain_grassland,dungeon_brick,480,344,64,64,4096
terrain_grassland,dungeon_grate,4,412,64,64,4096
terrain_grassland,dungeon_wall_2,72,412,64,64,4096
terrain_grassland,lava_floor,140,412,64,64,4096
terrain_grassland,shadow_floor,208,412,64,64,4096
terrain_grassland,vine_floor,276,412,64,64,4096
terrain_grassland,gold_floor,344,412,64,64,4096
terrain_grassland,cracked_floor,412,412,64,64,4096
terrain_grassland,jungle_floor,480,412,64,64,4096
terrain_grassland,brick_wall,4,480,64,64,4096
terrain_grassland,wood_floor,72,480,64,64,4096
terrain_grassland,cave_entrance,140,480,64,64,4096
terrain_grassland,magic_door,208,480,64,64,4096
terrain_walls_natural,cliff_dirt_plain,4,4,64,64,4096
terrain_walls_natural,cliff_dirt_dark,72,4,64,64,4096
terrain_walls_natural,cliff_grass_green,140,4,64,64,4096
terrain_walls_natural,cliff_grass_flowers,208,4,64,64,4096
terrain_walls_natural,cliff_grass_grey,276,4,64,64,4096
terrain_walls_natural,cliff_dark_rock,344,4,64,64,4096
terrain_walls_natural,cliff_grass_corner,4,72,64,64,4096
terrain_walls_natural,cliff_grass_yellow,72,72,64,64,4096
terrain_walls_natural,cliff_grey_plain,140,72,64,64,4096
terrain_walls_natural,cliff_black_plain,208,72,64,64,4096
terrain_walls_natural,cliff_sand_light,276,72,64,64,4096
terrain_walls_natural,cliff_moss_rock,344,72,64,64,4096
terrain_walls_natural,cliff_grey_rocks,4,140,64,64,4096
terrain_walls_natural,cliff_grey_round,72,140,64,64,4096
terrain_walls_natural,cliff_sand_green,140,140,64,64,4096
terrain_walls_natural,cliff_sand_plain,208,140,64,64,4096
terrain_walls_natural,cliff_grass_snow,276,140,64,64,4096
terrain_walls_natural,cliff_grass_overhang,344,140,64,64,4096
terrain_walls_natural,cliff_grey_moss,4,208,64,64,4096
terrain_walls_natural,cliff_black_lava,72,208,64,64,4096
terrain_walls_natural,cliff_white_plain,140,208,64,64,4096
terrain_walls_natural,cliff_sand_steps,208,208,64,64,4096
terrain_walls_natural,cliff_grey_cave,276,208,64,64,4096
terrain_walls_natural,cliff_lava_rock,344,208,64,64,4096
terrain_walls_natural,cliff_waterfall,4,276,64,64,4096
terrain_walls_natural,cliff_cave_entrance,72,276,64,64,4096
terrain_walls_natural,cliff_sand_canyon,140,276,64,64,4096
terrain_walls_natural,cliff_sand_grass,208,276,64,64,4096
terrain_walls_natural,cliff_black_cracked,276,276,64,64,4096
terrain_walls_natural,cliff_white_snow,344,276,64,64,4096
terrain_walls_manmade,wall_stone,4,4,64,64,4096
terrain_walls_manmade,wall_brick_red,72,4,64,64,4096
terrain_walls_manmade,wall_wood_fence,140,4,64,64,4096
terrain_walls_manmade,wall_iron_spikes,208,4,64,64,4096
terrain_walls_manmade,wall_castle_stone,276,4,64,64,4096
terrain_walls_manmade,fence_wood_pointed,344,4,64,64,4096
terrain_walls_manmade,gate_wood_stone,4,72,64,64,4096
terrain_walls_manmade,gate_iron_ornate,72,72,64,64,4096
terrain_walls_manmade,gate_stone_arch,140,72,64,64,4096
terrain_walls_manmade,fence_chain,208,72,64,64,4096
terrain_walls_manmade,wall_ruin_stone,276,72,64,64,4096
terrain_walls_manmade,wall_stone_window,344,72,64,64,4096
terrain_walls_manmade,fence_broken_log,4,140,64,64,4096
