atlas,name,category,original_size,canonical_size,output
buildings_v002,cottage_small,buildings,512x341,256x256,public/assets/sprites/buildings/cottage_small.png
buildings_v002,inn_large,buildings,512x341,256x256,public/assets/sprites/buildings/inn_large.png
buildings_v002,castle_entrance,buildings,512x341,256x256,public/assets/sprites/buildings/castle_entrance.png
buildings_v002,house_large,buildings,512x341,256x256,public/assets/sprites/buildings/house_large.png
buildings_v002,market_square,buildings,512x341,256x256,public/assets/sprites/buildings/market_square.png
buildings_v002,church_stone,buildings,512x341,256x256,public/assets/sprites/buildings/church_stone.png
buildings_v002,fortress_small,buildings,512x341,256x256,public/assets/sprites/buildings/fortress_small.png
buildings_v002,dockside_large,buildings,512x341,256x256,public/assets/sprites/buildings/dockside_large.png
buildings_v002,windmill_small,buildings,512x341,256x256,public/assets/sprites/buildings/windmill_small.png
buildings_v003,house_thatch_small,buildings,384x256,256x256,public/assets/sprites/buildings/house_thatch_small.png
buildings_v003,tavern_blue_roof,buildings,384x256,256x256,public/assets/sprites/buildings/tavern_blue_roof.png
buildings_v003,house_thatch_large,buildings,384x256,256x256,public/assets/sprites/buildings/house_thatch_large.png
buildings_v003,house_stone_red_roof,buildings,384x256,256x256,public/assets/sprites/buildings/house_stone_red_roof.png
buildings_v003,tavern_red_balcony,buildings,384x256,256x256,public/assets/sprites/buildings/tavern_red_balcony.png
buildings_v003,market_food_building,buildings,384x256,256x256,public/assets/sprites/buildings/market_food_building.png
buildings_v003,blacksmith_forge_large,buildings,384x256,256x256,public/assets/sprites/buildings/blacksmith_forge_large.png
buildings_v003,watchtower_small,buildings,384x256,256x256,public/assets/sprites/buildings/watchtower_small.png
buildings_v003,chapel_large,buildings,384x256,256x256,public/assets/sprites/buildings/chapel_large.png
buildings_v003,alchemy_shop,buildings,384x256,256x256,public/assets/sprites/buildings/alchemy_shop.png
buildings_v003,castle_gate_medium,buildings,384x256,256x256,public/assets/sprites/buildings/castle_gate_medium.png
buildings_v003,ruin_castle_small,buildings,384x256,256x256,public/assets/sprites/buildings/ruin_castle_small.png
buildings_v003,castle_fortress_large,buildings,384x256,256x256,public/assets/sprites/buildings/castle_fortress_large.png
buildings_v003,dockside_building,buildings,384x256,256x256,public/assets/sprites/buildings/dockside_building.png
buildings_v003,windmill_large,buildings,384x256,256x256,public/assets/sprites/buildings/windmill_large.png
buildings_v003,magic_shop_crystal,buildings,384x256,256x256,public/assets/sprites/buildings/magic_shop_crystal.png
buildings_v003,house_blue_roof_large,buildings,384x256,256x256,public/assets/sprites/buildings/house_blue_roof_large.png
objects_props_v002,tree_oak_large,props_large,249x321,128x192,public/assets/sprites/props_large/tree_oak_large.png
objects_props_v002,tree_pine_tall,props_large,268x321,128x192,public/assets/sprites/props_large/tree_pine_tall.png
objects_props_v002,tree_dead,props_large,299x321,128x192,public/assets/sprites/props_large/tree_dead.png
objects_props_v002,log_pile,props_medium,192x170,64x64,public/assets/sprites/props_medium/log_pile.png
objects_props_v002,rock_large,props_medium,192x170,64x64,public/assets/sprites/props_medium/rock_large.png
objects_props_v002,barrel_pair,props_medium,192x170,64x64,public/assets/sprites/props_medium/barrel_pair.png
objects_props_v002,barrel_triple,props_medium,192x170,64x64,public/assets/sprites/props_medium/barrel_triple.png
